序号,Steps,Force_Value
1,0,-0.47999998927116394
2,-5000,-1.3899999856948853
3,-10000,-2.549999952316284
4,-15000,-3.359999895095825
5,-20000,-4.510000228881836
6,-25000,-6.079999923706055
7,-30000,-7.28000020980835
8,-35000,-8.09000015258789
9,-40000,-9.630000114440918
10,-45000,-10.800000190734863
11,-50000,-11.9399995803833
12,-55000,-12.75
13,-60000,-14.329999923706055
14,-65000,-15.5600004196167
15,-70000,-16.399999618530273
16,-75000,-17.969999313354492
17,-80000,-19.170000076293945
18,-85000,-20.360000610351562
19,-90000,-21.170000076293945
20,-95000,-22.729999542236328
21,-100000,-23.93000030517578
22,-105000,-25.149999618530273
23,-110000,-26.670000076293945
24,-115000,-27.56999969482422
25,-120000,-28.770000457763672
26,-125000,-29.969999313354492
27,-130000,-31.469999313354492
28,-135000,-32.34000015258789
29,-140000,-33.54999923706055
30,-145000,-35.099998474121094
31,-150000,-35.97999954223633
32,-155000,-37.189998626708984
