序号,Steps,Force_Value
1,0,-0.6000000238418579
2,-5000,-1.9700000286102295
3,-10000,-3.319999933242798
4,-15000,-4.679999828338623
5,-20000,-5.949999809265137
6,-25000,-7.360000133514404
7,-30000,-8.75
8,-35000,-10.100000381469727
9,-40000,-11.460000038146973
10,-45000,-12.789999961853027
11,-50000,-14.140000343322754
12,-55000,-15.430000305175781
13,-60000,-16.75
14,-65000,-18.149999618530273
15,-70000,-19.510000228881836
16,-75000,-20.850000381469727
17,-80000,-22.200000762939453
18,-85000,-23.56999969482422
19,-90000,-24.920000076293945
20,-95000,-26.239999771118164
21,-100000,-27.600000381469727
22,-105000,-28.959999084472656
23,-110000,-30.329999923706055
24,-115000,-31.68000030517578
25,-120000,-33.040000915527344
26,-125000,-34.40999984741211
27,-130000,-35.75
28,-135000,-37.09000015258789
29,-140000,-38.45000076293945
30,-145000,-39.810001373291016
31,-150000,-41.16999816894531
32,-155000,-42.529998779296875
33,-160000,-43.88999938964844
34,-165000,-45.25
35,-170000,-46.59000015258789
36,-175000,-47.939998626708984
37,-180000,-49.29999923706055
38,-185000,-50.65999984741211
39,-190000,-52.0099983215332
40,-195000,-53.369998931884766
41,-200000,-54.72999954223633
42,-205000,-56.09000015258789
43,-210000,-57.43000030517578
44,-215000,-58.790000915527344
45,-220000,-60.13999938964844
46,-225000,-61.5
47,-230000,-62.849998474121094
48,-235000,-64.20999908447266
49,-240000,-65.58000183105469
50,-245000,-66.93000030517578
51,-250000,-68.2699966430664
52,-255000,-69.62000274658203
53,-260000,-70.97000122070312
54,-265000,-72.31999969482422
55,-270000,-73.68000030517578
56,-275000,-75.02999877929688
57,-280000,-76.38999938964844
58,-285000,-77.73999786376953
59,-290000,-79.08000183105469
60,-295000,-80.43000030517578
