序号,Steps,Force_Value
1,0,98.79000091552734
2,5000,98.83000183105469
3,10000,98.88999938964844
4,15000,98.94000244140625
5,20000,99.19999694824219
6,25000,99.26000213623047
7,30000,99.5199966430664
8,35000,99.56999969482422
9,40000,99.61000061035156
10,45000,99.66999816894531
11,50000,99.72000122070312
12,55000,99.7699966430664
13,60000,99.81999969482422
14,65000,99.87000274658203
15,70000,99.93000030517578
16,75000,99.9800033569336
17,80000,100.2300033569336
18,60000,94.97000122070312
19,40000,89.69999694824219
20,20000,84.41999816894531
21,0,79.16000366210938
22,-20000,73.87999725341797
23,-40000,68.62999725341797
24,-60000,63.369998931884766
25,-80000,58.130001068115234
26,-100000,52.869998931884766
27,-120000,47.63999938964844
28,-140000,42.400001525878906
29,-160000,37.18000030517578
30,-180000,31.950000762939453
31,-200000,26.75
32,-220000,21.530000686645508
33,-240000,16.350000381469727
34,-260000,11.210000038146973
35,-280000,6.059999942779541
36,-300000,0.9800000190734863
37,-320000,-4.099999904632568
38,-340000,-9.210000038146973
39,-360000,-14.420000076293945
40,-380000,-19.56999969482422
41,-400000,-24.790000915527344
42,-420000,-29.959999084472656
43,-440000,-35.18000030517578
44,-460000,-40.36000061035156
45,-480000,-45.560001373291016
46,-500000,-50.72999954223633
47,-520000,-55.91999816894531
48,-540000,-61.08000183105469
49,-560000,-66.25
50,-580000,-71.4000015258789
51,-600000,-76.54000091552734
52,-620000,-81.04000091552734
53,-640000,-82.22000122070312
54,-660000,-83.0
55,-680000,-84.22000122070312
56,-700000,-85.25
57,-720000,-85.8499984741211
58,-740000,-86.8499984741211
59,-760000,-87.04000091552734
60,-780000,-87.41999816894531
61,-800000,-87.61000061035156
62,-805000,-87.8499984741211
63,-810000,-88.08999633789062
64,-815000,-88.54000091552734
65,-820000,-88.58000183105469
66,-825000,-88.62000274658203
67,-830000,-89.08000183105469
68,-835000,-89.54000091552734
69,-840000,-89.56999969482422
70,-845000,-89.62000274658203
71,-850000,-89.87000274658203
72,-855000,-89.91000366210938
73,-860000,-90.16000366210938
74,-865000,-90.19999694824219
75,-870000,-90.45999908447266
76,-875000,-90.48999786376953
77,-880000,-90.73999786376953
