序号,Steps,Force_Value
1,0,98.75
2,5000,98.76000213623047
3,10000,99.02999877929688
4,15000,99.51000213623047
5,20000,99.7699966430664
6,25000,100.04000091552734
7,30000,100.51000213623047
8,35000,100.9800033569336
9,40000,101.02999877929688
10,45000,101.30000305175781
11,50000,101.55999755859375
12,55000,101.81999969482422
13,60000,102.08999633789062
14,65000,102.36000061035156
15,70000,102.62000274658203
16,75000,103.11000061035156
17,80000,103.37000274658203
18,60000,98.05000305175781
19,40000,92.72000122070312
20,20000,87.36000061035156
21,0,82.04000091552734
22,-20000,76.68000030517578
23,-40000,71.36000061035156
24,-60000,66.0199966430664
25,-80000,60.709999084472656
26,-100000,55.369998931884766
27,-120000,50.06999969482422
28,-140000,44.7400016784668
29,-160000,39.45000076293945
30,-180000,34.130001068115234
31,-200000,28.829999923706055
32,-220000,23.520000457763672
33,-240000,18.239999771118164
34,-260000,12.9399995803833
35,-280000,7.679999828338623
36,-300000,2.4800000190734863
37,-320000,-2.200000047683716
38,-340000,-6.949999809265137
39,-360000,-12.119999885559082
40,-380000,-17.399999618530273
41,-400000,-22.649999618530273
42,-420000,-27.940000534057617
43,-440000,-33.18000030517578
44,-460000,-38.470001220703125
45,-480000,-43.720001220703125
46,-500000,-49.0099983215332
47,-520000,-54.2599983215332
48,-540000,-59.54999923706055
49,-560000,-64.79000091552734
50,-580000,-70.08000183105469
51,-600000,-75.31999969482422
52,-620000,-80.61000061035156
53,-640000,-85.8499984741211
54,-660000,-91.12999725341797
55,-680000,-96.36000061035156
56,-700000,-101.62999725341797
57,-720000,-106.83999633789062
58,-740000,-112.11000061035156
59,-760000,-112.69000244140625
60,-780000,-115.12999725341797
61,-800000,-115.11000061035156
62,-805000,-115.31999969482422
63,-810000,-115.33999633789062
64,-815000,-115.37000274658203
65,-820000,-115.38999938964844
66,-825000,-115.25
67,-830000,-115.27999877929688
68,-835000,-115.30999755859375
69,-840000,-115.16000366210938
70,-845000,-115.19999694824219
71,-850000,-115.25
72,-855000,-115.2699966430664
73,-860000,-115.12999725341797
74,-865000,-115.16999816894531
75,-870000,-115.19999694824219
76,-875000,-115.05999755859375
77,-880000,-115.08999633789062
