序号,Steps,Force_Value
1,0,-0.25999999046325684
2,-5000,-0.6899999976158142
3,-10000,-1.1200000047683716
4,-15000,-1.5399999618530273
5,-20000,-1.9900000095367432
6,-25000,-2.450000047683716
7,-30000,-2.940000057220459
8,-35000,-3.4200000762939453
9,-40000,-3.880000114440918
10,-45000,-4.320000171661377
11,-50000,-4.739999771118164
12,-55000,-5.170000076293945
13,-60000,-5.619999885559082
14,-65000,-6.079999923706055
15,-70000,-6.559999942779541
16,-75000,-7.050000190734863
17,-80000,-7.510000228881836
18,-85000,-7.929999828338623
19,-90000,-8.350000381469727
20,-95000,-8.779999732971191
21,-100000,-9.229999542236328
22,-105000,-9.6899995803833
23,-110000,-10.170000076293945
24,-115000,-10.65999984741211
25,-120000,-11.119999885559082
26,-125000,-11.539999961853027
27,-130000,-11.9399995803833
28,-135000,-12.380000114440918
29,-140000,-12.829999923706055
30,-145000,-13.289999961853027
31,-150000,-13.770000457763672
32,-155000,-14.260000228881836
33,-160000,-14.710000038146973
34,-165000,-15.130000114440918
35,-170000,-15.529999732971191
36,-175000,-15.960000038146973
