序号,Steps,Force_Value
1,0,-0.019999999552965164
2,-5000,-0.2199999988079071
3,-10000,-0.5099999904632568
4,-15000,-0.800000011920929
5,-20000,-1.100000023841858
6,-25000,-1.3899999856948853
7,-30000,-1.690000057220459
8,-35000,-2.0
9,-40000,-2.309999942779541
10,-45000,-2.609999895095825
11,-50000,-2.890000104904175
12,-55000,-3.180000066757202
13,-60000,-3.4800000190734863
14,-65000,-3.7699999809265137
15,-70000,-4.070000171661377
16,-75000,-4.380000114440918
17,-80000,-4.699999809265137
18,-85000,-4.989999771118164
19,-90000,-5.269999980926514
20,-95000,-5.559999942779541
21,-100000,-5.849999904632568
22,-105000,-6.150000095367432
23,-110000,-6.440000057220459
24,-115000,-6.5
25,-120000,-7.059999942779541
26,-125000,-7.349999904632568
27,-130000,-7.639999866485596
28,-135000,-7.920000076293945
29,-140000,-8.220000267028809
30,-145000,-8.510000228881836
31,-150000,-8.8100004196167
32,-155000,-9.119999885559082
