序号,Steps,Force_Value
1,0,-0.18000000715255737
2,-5000,-0.18000000715255737
3,-10000,-0.33000001311302185
4,-15000,-0.6600000262260437
5,-20000,-1.059999942779541
6,-25000,-1.3300000429153442
7,-30000,-1.6699999570846558
8,-35000,-2.0299999713897705
9,-40000,-2.259999990463257
10,-45000,-2.609999895095825
11,-50000,-3.0399999618530273
12,-55000,-3.3499999046325684
13,-60000,-3.6700000762939453
14,-65000,-4.0
15,-70000,-4.340000152587891
16,-75000,-4.699999809265137
17,-80000,-5.050000190734863
18,-85000,-5.5
19,-90000,-5.71999979019165
20,-95000,-6.03000020980835
21,-100000,-6.340000152587891
22,-105000,-6.659999847412109
23,-110000,-7.0
24,-115000,-7.480000019073486
