序号,Steps,Force_Value
1,0,-0.15000000596046448
2,-5000,-1.1200000047683716
3,-10000,-2.4100000858306885
4,-15000,-3.619999885559082
5,-20000,-4.78000020980835
6,-25000,-6.0
7,-30000,-7.230000019073486
8,-35000,-8.510000228881836
9,-40000,-9.8100004196167
10,-45000,-11.069999694824219
11,-50000,-12.3100004196167
12,-55000,-13.579999923706055
13,-60000,-14.869999885559082
14,-65000,-16.15999984741211
15,-70000,-17.450000762939453
16,-75000,-18.739999771118164
17,-80000,-20.020000457763672
18,-85000,-21.299999237060547
19,-90000,-22.579999923706055
20,-95000,-23.860000610351562
21,-100000,-25.15999984741211
22,-105000,-26.459999084472656
23,-110000,-27.75
24,-115000,-29.040000915527344
25,-120000,-30.31999969482422
26,-125000,-31.600000381469727
27,-130000,-32.869998931884766
28,-135000,-34.15999984741211
29,-140000,-35.459999084472656
30,-145000,-36.7599983215332
