序号,Steps,Force_Value
1,0,-0.1899999976158142
2,-5000,-0.550000011920929
3,-10000,-0.9399999976158142
4,-15000,-1.3200000524520874
5,-20000,-1.7200000286102295
6,-25000,-2.119999885559082
7,-30000,-2.509999990463257
8,-35000,-2.869999885559082
9,-40000,-3.2300000190734863
10,-45000,-3.609999895095825
11,-50000,-3.990000009536743
12,-55000,-4.369999885559082
13,-60000,-4.760000228881836
14,-65000,-5.159999847412109
15,-70000,-5.550000190734863
16,-75000,-5.909999847412109
17,-80000,-6.269999980926514
18,-85000,-6.639999866485596
19,-90000,-7.03000020980835
20,-95000,-7.409999847412109
21,-100000,-7.789999961853027
22,-105000,-8.180000305175781
23,-110000,-8.569999694824219
24,-115000,-8.930000305175781
25,-120000,-9.279999732971191
26,-125000,-9.649999618530273
27,-130000,-10.029999732971191
28,-135000,-10.40999984741211
29,-140000,-10.800000190734863
30,-145000,-11.180000305175781
31,-150000,-11.5600004196167
32,-155000,-11.920000076293945
33,-160000,-12.279999732971191
34,-165000,-12.640000343322754
35,-170000,-13.020000457763672
36,-175000,-13.399999618530273
