序号,Steps,Force_Value
1,0,-0.15000000596046448
2,-5000,-0.15000000596046448
3,-10000,-0.7099999785423279
4,-15000,-1.840000033378601
5,-20000,-3.319999933242798
6,-25000,-4.440000057220459
7,-30000,-5.610000133514404
8,-35000,-6.800000190734863
9,-40000,-7.940000057220459
10,-45000,-8.699999809265137
11,-50000,-9.859999656677246
12,-55000,-11.350000381469727
13,-60000,-12.460000038146973
14,-65000,-13.619999885559082
15,-70000,-14.800000190734863
16,-75000,-15.979999542236328
17,-80000,-17.15999984741211
18,-85000,-17.940000534057617
19,-90000,-19.489999771118164
20,-95000,-20.639999389648438
21,-100000,-21.790000915527344
22,-105000,-22.940000534057617
23,-110000,-24.110000610351562
24,-115000,-25.290000915527344
25,-120000,-26.860000610351562
26,-125000,-28.030000686645508
27,-130000,-28.809999465942383
28,-135000,-29.959999084472656
29,-140000,-31.100000381469727
30,-145000,-32.2599983215332
31,-150000,-33.810001373291016
32,-155000,-34.9900016784668
