序号,Steps,Force_Value
1,0,0.0
2,-5000,-1.190000057220459
3,-10000,-2.4200000762939453
4,-15000,-3.6700000762939453
5,-20000,-4.949999809265137
6,-25000,-6.230000019073486
7,-30000,-7.5
8,-35000,-8.739999771118164
9,-40000,-9.989999771118164
10,-45000,-11.260000228881836
11,-50000,-12.529999732971191
12,-55000,-13.789999961853027
13,-60000,-15.050000190734863
14,-65000,-16.299999237060547
15,-70000,-17.56999969482422
16,-75000,-18.84000015258789
17,-80000,-20.100000381469727
18,-85000,-21.3700008392334
19,-90000,-22.649999618530273
20,-95000,-23.93000030517578
21,-100000,-25.18000030517578
22,-105000,-26.43000030517578
23,-110000,-27.700000762939453
24,-115000,-28.979999542236328
25,-120000,-30.25
26,-125000,-31.510000228881836
27,-130000,-32.790000915527344
28,-135000,-34.06999969482422
29,-140000,-35.33000183105469
30,-145000,-36.58000183105469
