序号,Steps,Force_Value
1,0,-0.03999999910593033
2,-5000,-1.2100000381469727
3,-10000,-2.4000000953674316
4,-15000,-3.5799999237060547
5,-20000,-4.730000019073486
6,-25000,-5.96999979019165
7,-30000,-7.170000076293945
8,-35000,-8.369999885559082
9,-40000,-9.569999694824219
10,-45000,-10.729999542236328
11,-50000,-11.90999984741211
12,-55000,-13.020000457763672
13,-60000,-14.229999542236328
14,-65000,-15.470000267028809
15,-70000,-16.670000076293945
16,-75000,-17.8700008392334
17,-80000,-19.049999237060547
18,-85000,-20.229999542236328
19,-90000,-21.399999618530273
20,-95000,-22.5
21,-100000,-23.719999313354492
22,-105000,-24.950000762939453
23,-110000,-26.139999389648438
24,-115000,-27.31999969482422
25,-120000,-28.510000228881836
26,-125000,-29.700000762939453
27,-130000,-30.850000381469727
28,-135000,-32.0099983215332
29,-140000,-33.209999084472656
30,-145000,-34.41999816894531
