序号,Steps,Force_Value
1,0,-0.03999999910593033
2,-5000,-1.2999999523162842
3,-10000,-2.5999999046325684
4,-15000,-3.859999895095825
5,-20000,-5.150000095367432
6,-25000,-6.409999847412109
7,-30000,-7.679999828338623
8,-35000,-8.9399995803833
9,-40000,-10.210000038146973
10,-45000,-11.529999732971191
11,-50000,-12.880000114440918
12,-55000,-14.210000038146973
13,-60000,-15.5
14,-65000,-16.790000915527344
15,-70000,-18.079999923706055
16,-75000,-19.350000381469727
17,-80000,-20.649999618530273
18,-85000,-21.969999313354492
19,-90000,-23.309999465942383
20,-95000,-24.6299991607666
21,-100000,-25.940000534057617
22,-105000,-27.25
23,-110000,-28.530000686645508
24,-115000,-29.809999465942383
25,-120000,-31.1200008392334
26,-125000,-32.45000076293945
27,-130000,-33.790000915527344
28,-135000,-35.11000061035156
29,-140000,-36.41999816894531
30,-145000,-37.72999954223633
31,-150000,-39.02000045776367
32,-155000,-40.29999923706055
33,-160000,-41.61000061035156
34,-165000,-42.939998626708984
35,-170000,-44.27000045776367
36,-175000,-45.599998474121094
37,-180000,-46.90999984741211
38,-185000,-48.209999084472656
39,-190000,-49.5
40,-195000,-50.790000915527344
