序号,Steps,Force_Value
1,0,-0.30000001192092896
2,-5000,-1.1799999475479126
3,-10000,-2.5199999809265137
4,-15000,-3.9000000953674316
5,-20000,-5.239999771118164
6,-25000,-6.579999923706055
7,-30000,-7.630000114440918
8,-35000,-8.90999984741211
9,-40000,-10.229999542236328
10,-45000,-11.529999732971191
11,-50000,-12.6899995803833
12,-55000,-13.90999984741211
13,-60000,-15.180000305175781
14,-65000,-16.459999084472656
15,-70000,-17.729999542236328
16,-75000,-18.989999771118164
17,-80000,-20.270000457763672
18,-85000,-21.559999465942383
19,-90000,-22.850000381469727
20,-95000,-24.149999618530273
21,-100000,-25.43000030517578
22,-105000,-26.719999313354492
23,-110000,-27.989999771118164
24,-115000,-29.270000457763672
25,-120000,-30.559999465942383
26,-125000,-31.790000915527344
27,-130000,-33.08000183105469
28,-135000,-34.380001068115234
29,-140000,-35.66999816894531
30,-145000,-36.95000076293945
31,-150000,-38.22999954223633
32,-155000,-39.5
