序号,Steps,Force_Value
1,0,-0.5
2,-5000,-1.5199999809265137
3,-10000,-2.819999933242798
4,-15000,-3.9700000286102295
5,-20000,-5.170000076293945
6,-25000,-6.369999885559082
7,-30000,-7.619999885559082
8,-35000,-8.90999984741211
9,-40000,-10.210000038146973
10,-45000,-11.460000038146973
11,-50000,-12.710000038146973
12,-55000,-13.989999771118164
13,-60000,-15.270000457763672
14,-65000,-16.56999969482422
15,-70000,-17.860000610351562
16,-75000,-19.139999389648438
17,-80000,-20.43000030517578
18,-85000,-21.709999084472656
19,-90000,-22.989999771118164
20,-95000,-24.280000686645508
21,-100000,-25.56999969482422
22,-105000,-26.8700008392334
23,-110000,-28.15999984741211
24,-115000,-29.450000762939453
25,-120000,-30.729999542236328
26,-125000,-32.0099983215332
27,-130000,-33.279998779296875
28,-135000,-34.58000183105469
29,-140000,-35.880001068115234
30,-145000,-37.16999816894531
31,-150000,-38.459999084472656
32,-155000,-39.75
33,-160000,-41.029998779296875
34,-165000,-42.29999923706055
35,-170000,-43.58000183105469
36,-175000,-44.869998931884766
