序号,Steps,Force_Value
1,0,-0.07999999821186066
2,-5000,-0.5
3,-10000,-0.9200000166893005
4,-15000,-1.3600000143051147
5,-20000,-1.809999942779541
6,-25000,-2.2699999809265137
7,-30000,-2.7300000190734863
8,-35000,-3.200000047683716
9,-40000,-3.6600000858306885
10,-45000,-4.090000152587891
11,-50000,-4.519999980926514
12,-55000,-4.949999809265137
13,-60000,-5.389999866485596
14,-65000,-5.849999904632568
15,-70000,-6.320000171661377
16,-75000,-6.78000020980835
17,-80000,-7.230000019073486
18,-85000,-7.670000076293945
19,-90000,-8.100000381469727
20,-95000,-8.529999732971191
21,-100000,-8.970000267028809
22,-105000,-9.430000305175781
23,-110000,-9.899999618530273
24,-115000,-10.350000381469727
