序号,Steps,Force_Value
1,0,-0.5400000214576721
2,-5000,-1.7300000190734863
3,-10000,-2.9200000762939453
4,-15000,-4.059999942779541
5,-20000,-5.289999961853027
6,-25000,-6.510000228881836
7,-30000,-7.699999809265137
8,-35000,-8.890000343322754
9,-40000,-10.069999694824219
10,-45000,-11.260000228881836
11,-50000,-12.420000076293945
12,-55000,-13.5600004196167
13,-60000,-14.789999961853027
14,-65000,-16.010000228881836
15,-70000,-17.200000762939453
16,-75000,-18.399999618530273
17,-80000,-19.579999923706055
18,-85000,-20.760000228881836
19,-90000,-21.899999618530273
20,-95000,-23.059999465942383
21,-100000,-24.290000915527344
22,-105000,-25.5
23,-110000,-26.68000030517578
24,-115000,-27.860000610351562
25,-120000,-29.059999465942383
26,-125000,-30.239999771118164
27,-130000,-31.3700008392334
28,-135000,-32.56999969482422
29,-140000,-33.779998779296875
30,-145000,-34.970001220703125
31,-150000,-36.15999984741211
32,-155000,-37.349998474121094
33,-160000,-38.54999923706055
34,-165000,-39.72999954223633
35,-170000,-40.88999938964844
36,-175000,-42.08000183105469
37,-180000,-43.279998779296875
38,-185000,-44.47999954223633
39,-190000,-45.66999816894531
40,-195000,-46.86000061035156
41,-200000,-48.04999923706055
42,-205000,-49.22999954223633
43,-210000,-50.400001525878906
44,-215000,-51.59000015258789
45,-220000,-52.779998779296875
46,-225000,-53.970001220703125
47,-230000,-55.16999816894531
48,-235000,-56.36000061035156
49,-240000,-57.540000915527344
50,-245000,-58.720001220703125
