序号,Steps,Force_Value
1,0,-0.1599999964237213
2,-5000,-1.0099999904632568
3,-10000,-2.2300000190734863
4,-15000,-3.440000057220459
5,-20000,-4.639999866485596
6,-25000,-5.840000152587891
7,-30000,-6.849999904632568
8,-35000,-8.0
9,-40000,-9.15999984741211
10,-45000,-10.3100004196167
11,-50000,-11.479999542236328
12,-55000,-12.649999618530273
13,-60000,-13.819999694824219
14,-65000,-15.0
15,-70000,-16.170000076293945
16,-75000,-17.34000015258789
17,-80000,-18.5
18,-85000,-19.649999618530273
19,-90000,-20.799999237060547
20,-95000,-21.950000762939453
21,-100000,-23.1200008392334
22,-105000,-24.290000915527344
23,-110000,-25.440000534057617
24,-115000,-26.59000015258789
25,-120000,-27.739999771118164
26,-125000,-28.8799991607666
27,-130000,-30.020000457763672
28,-135000,-31.15999984741211
29,-140000,-32.31999969482422
30,-145000,-33.47999954223633
31,-150000,-34.619998931884766
32,-155000,-35.7599983215332
