序号,Steps,Force_Value
1,0,-0.20999999344348907
2,-5000,-1.4800000190734863
3,-10000,-2.7799999713897705
4,-15000,-4.03000020980835
5,-20000,-5.309999942779541
6,-25000,-6.559999942779541
7,-30000,-7.820000171661377
8,-35000,-9.079999923706055
9,-40000,-10.369999885559082
10,-45000,-11.699999809265137
11,-50000,-13.0600004196167
12,-55000,-14.380000114440918
13,-60000,-15.65999984741211
14,-65000,-16.950000762939453
15,-70000,-18.229999542236328
16,-75000,-19.5
17,-80000,-20.809999465942383
18,-85000,-22.139999389648438
19,-90000,-23.489999771118164
20,-95000,-24.799999237060547
21,-100000,-26.1200008392334
22,-105000,-27.40999984741211
23,-110000,-28.690000534057617
24,-115000,-29.979999542236328
25,-120000,-31.299999237060547
26,-125000,-32.630001068115234
27,-130000,-33.959999084472656
28,-135000,-35.290000915527344
29,-140000,-36.599998474121094
30,-145000,-37.900001525878906
31,-150000,-39.18000030517578
32,-155000,-40.470001220703125
33,-160000,-41.790000915527344
34,-165000,-43.119998931884766
35,-170000,-44.45000076293945
36,-175000,-45.77000045776367
37,-180000,-47.08000183105469
38,-185000,-48.380001068115234
39,-190000,-49.66999816894531
40,-195000,-50.970001220703125
41,-200000,-52.279998779296875
42,-205000,-53.599998474121094
43,-210000,-54.93000030517578
44,-215000,-56.25
45,-220000,-57.54999923706055
46,-225000,-58.849998474121094
47,-230000,-60.130001068115234
48,-235000,-61.41999816894531
