序号,Steps,Force_Value
1,0,-0.009999999776482582
2,-5000,-0.38999998569488525
3,-10000,-0.8199999928474426
4,-15000,-1.2699999809265137
5,-20000,-1.7200000286102295
6,-25000,-2.1600000858306885
7,-30000,-2.609999895095825
8,-35000,-3.0899999141693115
9,-40000,-3.5299999713897705
10,-45000,-3.950000047683716
11,-50000,-4.380000114440918
12,-55000,-4.809999942779541
13,-60000,-5.239999771118164
14,-65000,-5.679999828338623
15,-70000,-6.150000095367432
16,-75000,-6.449999809265137
17,-80000,-7.050000190734863
18,-85000,-7.480000019073486
19,-90000,-7.909999847412109
20,-95000,-8.34000015258789
21,-100000,-8.760000228881836
22,-105000,-9.199999809265137
23,-110000,-9.670000076293945
24,-115000,-10.140000343322754
25,-120000,-10.59000015258789
26,-125000,-11.010000228881836
27,-130000,-11.430000305175781
28,-135000,-11.850000381469727
29,-140000,-12.270000457763672
30,-145000,-12.710000038146973
31,-150000,-13.170000076293945
32,-155000,-13.619999885559082
