序号,Steps,Force_Value
1,0,-0.009999999776482582
2,-5000,-0.4300000071525574
3,-10000,-0.8899999856948853
4,-15000,-1.350000023841858
5,-20000,-1.840000033378601
6,-25000,-2.2899999618530273
7,-30000,-2.7200000286102295
8,-35000,-3.1600000858306885
9,-40000,-3.630000114440918
10,-45000,-4.079999923706055
11,-50000,-4.539999961853027
12,-55000,-5.010000228881836
13,-60000,-5.46999979019165
14,-65000,-5.920000076293945
15,-70000,-6.369999885559082
16,-75000,-6.820000171661377
17,-80000,-7.28000020980835
18,-85000,-7.730000019073486
19,-90000,-8.1899995803833
20,-95000,-8.649999618530273
21,-100000,-9.109999656677246
22,-105000,-9.5600004196167
23,-110000,-10.010000228881836
24,-115000,-10.470000267028809
25,-120000,-10.920000076293945
26,-125000,-11.380000114440918
27,-130000,-11.829999923706055
28,-135000,-12.289999961853027
29,-140000,-12.739999771118164
30,-145000,-13.1899995803833
31,-150000,-13.649999618530273
32,-155000,-14.109999656677246
