序号,Steps,Force_Value
1,0,-0.12999999523162842
2,-5000,-0.44999998807907104
3,-10000,-0.7799999713897705
4,-15000,-1.1100000143051147
5,-20000,-1.4299999475479126
6,-25000,-1.75
7,-30000,-2.0799999237060547
8,-35000,-2.390000104904175
9,-40000,-2.7100000381469727
10,-45000,-3.049999952316284
11,-50000,-3.380000114440918
12,-55000,-3.7100000381469727
13,-60000,-4.050000190734863
14,-65000,-4.380000114440918
15,-70000,-4.699999809265137
16,-75000,-5.019999980926514
17,-80000,-5.340000152587891
18,-85000,-5.670000076293945
19,-90000,-6.0
20,-95000,-6.329999923706055
21,-100000,-6.659999847412109
22,-105000,-7.0
23,-110000,-7.320000171661377
24,-115000,-7.630000114440918
25,-120000,-7.960000038146973
26,-125000,-8.289999961853027
27,-130000,-8.609999656677246
28,-135000,-8.930000305175781
