序号,Steps,Force_Value
1,0,29.219999313354492
2,5000,29.219999313354492
3,10000,29.209999084472656
4,15000,29.209999084472656
5,20000,29.219999313354492
6,25000,29.219999313354492
7,30000,29.209999084472656
8,35000,29.209999084472656
9,40000,29.219999313354492
10,45000,29.219999313354492
11,50000,29.209999084472656
12,55000,29.209999084472656
13,60000,29.219999313354492
14,65000,29.219999313354492
15,70000,29.209999084472656
16,75000,29.209999084472656
17,80000,29.219999313354492
18,60000,27.639999389648438
19,40000,26.1299991607666
20,20000,24.549999237060547
21,0,23.06999969482422
22,-20000,21.5
23,-40000,20.030000686645508
24,-60000,18.450000762939453
25,-80000,16.989999771118164
26,-100000,15.420000076293945
27,-120000,13.970000267028809
28,-140000,12.40999984741211
29,-160000,10.960000038146973
30,-180000,9.399999618530273
31,-200000,7.960000038146973
32,-220000,6.429999828338623
33,-240000,5.0
34,-260000,3.490000009536743
35,-280000,2.0799999237060547
36,-300000,0.5199999809265137
37,-320000,-0.8700000047683716
38,-340000,-2.440000057220459
39,-360000,-3.819999933242798
40,-380000,-5.389999866485596
41,-400000,-6.760000228881836
42,-420000,-8.3100004196167
43,-440000,-9.680000305175781
44,-460000,-11.220000267028809
45,-480000,-12.600000381469727
46,-500000,-14.130000114440918
47,-520000,-15.5
48,-540000,-17.030000686645508
49,-560000,-18.389999389648438
50,-580000,-19.920000076293945
51,-600000,-21.280000686645508
52,-620000,-22.799999237060547
53,-640000,-24.149999618530273
54,-660000,-25.65999984741211
55,-680000,-27.0
56,-700000,-28.489999771118164
57,-720000,-29.809999465942383
58,-740000,-31.270000457763672
59,-760000,-32.540000915527344
60,-780000,-33.95000076293945
61,-800000,-34.41999816894531
62,-805000,-34.38999938964844
63,-810000,-34.369998931884766
64,-815000,-34.349998474121094
65,-820000,-34.34000015258789
66,-825000,-34.31999969482422
67,-830000,-34.310001373291016
68,-835000,-34.310001373291016
69,-840000,-34.290000915527344
70,-845000,-34.279998779296875
71,-850000,-34.279998779296875
72,-855000,-34.279998779296875
73,-860000,-34.279998779296875
74,-865000,-34.2599983215332
75,-870000,-34.2599983215332
76,-875000,-34.2599983215332
77,-880000,-34.2599983215332
