序号,Steps,Force_Value
1,0,-0.11999999731779099
2,-5000,-0.5
3,-10000,-0.9200000166893005
4,-15000,-1.3799999952316284
5,-20000,-1.8200000524520874
6,-25000,-2.2699999809265137
7,-30000,-2.7300000190734863
8,-35000,-3.200000047683716
9,-40000,-3.619999885559082
10,-45000,-4.039999961853027
11,-50000,-4.480000019073486
12,-55000,-4.909999847412109
13,-60000,-5.340000152587891
14,-65000,-5.789999961853027
15,-70000,-6.269999980926514
16,-75000,-6.730000019073486
17,-80000,-7.170000076293945
18,-85000,-7.590000152587891
19,-90000,-8.020000457763672
20,-95000,-8.4399995803833
21,-100000,-8.869999885559082
22,-105000,-9.319999694824219
23,-110000,-9.800000190734863
24,-115000,-10.260000228881836
25,-120000,-10.699999809265137
26,-125000,-11.119999885559082
27,-130000,-11.539999961853027
28,-135000,-11.960000038146973
29,-140000,-12.390000343322754
30,-145000,-12.84000015258789
31,-150000,-13.300000190734863
32,-155000,-13.770000457763672
33,-160000,-14.210000038146973
34,-165000,-14.630000114440918
35,-170000,-15.039999961853027
36,-175000,-15.460000038146973
37,-180000,-15.890000343322754
38,-185000,-16.34000015258789
39,-190000,-16.799999237060547
40,-195000,-17.260000228881836
41,-200000,-17.709999084472656
42,-205000,-18.1200008392334
43,-210000,-18.520000457763672
44,-215000,-18.940000534057617
45,-220000,-19.3700008392334
46,-225000,-19.809999465942383
47,-230000,-20.270000457763672
48,-235000,-20.729999542236328
