序号,Steps,Force_Value
1,0,-0.14000000059604645
2,-5000,-0.5199999809265137
3,-10000,-0.8999999761581421
4,-15000,-1.2699999809265137
5,-20000,-1.6100000143051147
6,-25000,-1.9500000476837158
7,-30000,-2.309999942779541
8,-35000,-2.6600000858306885
9,-40000,-3.0399999618530273
10,-45000,-3.430000066757202
11,-50000,-3.799999952316284
12,-55000,-4.150000095367432
13,-60000,-4.5
14,-65000,-4.840000152587891
15,-70000,-5.199999809265137
16,-75000,-5.559999942779541
17,-80000,-5.940000057220459
18,-85000,-6.309999942779541
19,-90000,-6.679999828338623
20,-95000,-7.039999961853027
21,-100000,-7.389999866485596
22,-105000,-7.739999771118164
23,-110000,-8.09000015258789
24,-115000,-8.460000038146973
25,-120000,-8.84000015258789
26,-125000,-9.210000038146973
27,-130000,-9.579999923706055
28,-135000,-9.9399995803833
29,-140000,-10.289999961853027
30,-145000,-10.630000114440918
31,-150000,-10.989999771118164
32,-155000,-11.350000381469727
33,-160000,-11.720000267028809
34,-165000,-12.09000015258789
35,-170000,-12.460000038146973
36,-175000,-12.819999694824219
