序号,Steps,Force_Value
1,0,-0.23849999904632568
2,-5000,-0.6654000282287598
3,-10000,-1.0715999603271484
4,-15000,-1.488700032234192
5,-20000,-1.9522000551223755
6,-25000,-2.4189999103546143
7,-30000,-2.878700017929077
8,-35000,-3.3696000576019287
9,-40000,-3.8371999263763428
10,-45000,-4.274899959564209
11,-50000,-4.6859002113342285
12,-55000,-5.1118998527526855
13,-60000,-5.565899848937988
14,-65000,-6.03249979019165
15,-70000,-6.5
16,-75000,-6.981900215148926
17,-80000,-7.4475998878479
18,-85000,-7.883299827575684
19,-90000,-8.295999526977539
20,-95000,-8.723699569702148
21,-100000,-9.171899795532227
22,-105000,-9.635899543762207
23,-110000,-10.106200218200684
24,-115000,-10.585599899291992
25,-120000,-11.04319953918457
26,-125000,-11.473400115966797
27,-130000,-11.887800216674805
28,-135000,-12.314800262451172
29,-140000,-12.755399703979492
30,-145000,-13.21660041809082
