序号,Steps,Force_Value
1,0,-0.7799999713897705
2,-5000,-1.690000057220459
3,-10000,-2.990000009536743
4,-15000,-4.269999980926514
5,-20000,-5.420000076293945
6,-25000,-6.619999885559082
7,-30000,-7.860000133514404
8,-35000,-9.109999656677246
9,-40000,-10.390000343322754
10,-45000,-11.680000305175781
11,-50000,-12.949999809265137
12,-55000,-14.210000038146973
13,-60000,-15.479999542236328
14,-65000,-16.75
15,-70000,-18.010000228881836
16,-75000,-19.280000686645508
17,-80000,-20.559999465942383
18,-85000,-21.850000381469727
19,-90000,-23.1200008392334
20,-95000,-24.389999389648438
21,-100000,-25.670000076293945
22,-105000,-26.940000534057617
23,-110000,-28.209999084472656
24,-115000,-29.479999542236328
25,-120000,-30.760000228881836
26,-125000,-32.04999923706055
27,-130000,-33.31999969482422
28,-135000,-34.59000015258789
29,-140000,-35.869998931884766
30,-145000,-37.13999938964844
31,-150000,-38.40999984741211
32,-155000,-39.68000030517578
33,-160000,-40.959999084472656
34,-165000,-42.2400016784668
35,-170000,-43.5099983215332
36,-175000,-44.779998779296875
37,-180000,-46.04999923706055
38,-185000,-47.31999969482422
39,-190000,-48.58000183105469
40,-195000,-49.849998474121094
