序号,Steps,Force_Value
1,0,0.07000000029802322
2,-5000,-1.0399999618530273
3,-10000,-2.130000114440918
4,-15000,-3.119999885559082
5,-20000,-4.300000190734863
6,-25000,-5.480000019073486
7,-30000,-6.730000019073486
8,-35000,-8.039999961853027
9,-40000,-9.350000381469727
10,-45000,-10.65999984741211
11,-50000,-11.989999771118164
12,-55000,-13.319999694824219
13,-60000,-14.630000114440918
14,-65000,-15.9399995803833
15,-70000,-17.239999771118164
16,-75000,-18.549999237060547
17,-80000,-19.8700008392334
18,-85000,-21.200000762939453
19,-90000,-22.530000686645508
20,-95000,-23.850000381469727
21,-100000,-25.170000076293945
22,-105000,-26.479999542236328
23,-110000,-27.790000915527344
24,-115000,-29.100000381469727
25,-120000,-30.420000076293945
26,-125000,-31.75
27,-130000,-33.08000183105469
28,-135000,-34.400001525878906
29,-140000,-35.720001220703125
30,-145000,-37.040000915527344
31,-150000,-38.34000015258789
32,-155000,-39.650001525878906
33,-160000,-40.970001220703125
34,-165000,-42.29999923706055
35,-170000,-43.630001068115234
36,-175000,-44.95000076293945
37,-180000,-46.27000045776367
38,-185000,-47.59000015258789
39,-190000,-48.88999938964844
40,-195000,-50.209999084472656
41,-200000,-51.52000045776367
42,-205000,-52.849998474121094
43,-210000,-54.16999816894531
44,-215000,-55.4900016784668
45,-220000,-56.810001373291016
46,-225000,-58.130001068115234
47,-230000,-59.439998626708984
48,-235000,-60.75
49,-240000,-62.060001373291016
50,-245000,-63.38999938964844
