序号,Steps,Force_Value
1,0,-0.10999999940395355
2,-5000,-1.340000033378601
3,-10000,-2.640000104904175
4,-15000,-3.940000057220459
5,-20000,-5.230000019073486
6,-25000,-6.510000228881836
7,-30000,-7.78000020980835
8,-35000,-9.069999694824219
9,-40000,-10.380000114440918
10,-45000,-11.6899995803833
11,-50000,-13.0
12,-55000,-14.3100004196167
13,-60000,-15.609999656677246
14,-65000,-16.920000076293945
15,-70000,-18.219999313354492
16,-75000,-19.520000457763672
17,-80000,-20.829999923706055
18,-85000,-22.149999618530273
19,-90000,-23.459999084472656
20,-95000,-24.760000228881836
21,-100000,-26.059999465942383
22,-105000,-27.3700008392334
23,-110000,-28.68000030517578
24,-115000,-29.979999542236328
25,-120000,-31.299999237060547
26,-125000,-32.61000061035156
27,-130000,-33.91999816894531
28,-135000,-35.22999954223633
29,-140000,-36.529998779296875
30,-145000,-37.83000183105469
31,-150000,-39.13999938964844
32,-155000,-40.45000076293945
33,-160000,-41.77000045776367
34,-165000,-43.08000183105469
35,-170000,-44.38999938964844
36,-175000,-45.689998626708984
37,-180000,-46.9900016784668
38,-185000,-48.290000915527344
39,-190000,-49.599998474121094
40,-195000,-50.900001525878906
41,-200000,-52.220001220703125
42,-205000,-53.529998779296875
43,-210000,-54.83000183105469
44,-215000,-56.119998931884766
45,-220000,-57.40999984741211
46,-225000,-58.709999084472656
47,-230000,-60.0
48,-235000,-61.29999923706055
