序号,Steps,Force_Value
1,0,-0.2295999974012375
2,-5000,-0.6899999976158142
3,-10000,-1.163699984550476
4,-15000,-1.6265000104904175
5,-20000,-2.0596001148223877
6,-25000,-2.517199993133545
7,-30000,-2.9632999897003174
8,-35000,-3.4098000526428223
9,-40000,-3.8664000034332275
10,-45000,-4.3119001388549805
11,-50000,-4.740900039672852
12,-55000,-5.170199871063232
13,-60000,-5.634900093078613
14,-65000,-6.096499919891357
15,-70000,-6.542799949645996
16,-75000,-6.997099876403809
17,-80000,-7.4517998695373535
18,-85000,-7.899899959564209
19,-90000,-8.343799591064453
20,-95000,-8.797100067138672
21,-100000,-9.262900352478027
22,-105000,-9.717000007629395
23,-110000,-10.166899681091309
24,-115000,-10.618599891662598
25,-120000,-11.068499565124512
26,-125000,-11.516400337219238
27,-130000,-11.958999633789062
28,-135000,-12.419899940490723
29,-140000,-12.88029956817627
30,-145000,-13.332200050354004
31,-150000,-13.782999992370605
32,-155000,-14.23069953918457
