序号,Steps,Force_Value
1,0,-0.3400000035762787
2,-5000,-1.399999976158142
3,-10000,-2.4100000858306885
4,-15000,-3.4800000190734863
5,-20000,-4.650000095367432
6,-25000,-5.829999923706055
7,-30000,-7.119999885559082
8,-35000,-8.4399995803833
9,-40000,-9.739999771118164
10,-45000,-11.069999694824219
11,-50000,-12.390000343322754
12,-55000,-13.710000038146973
13,-60000,-15.029999732971191
14,-65000,-16.34000015258789
15,-70000,-17.649999618530273
16,-75000,-18.959999084472656
17,-80000,-20.280000686645508
18,-85000,-21.610000610351562
19,-90000,-22.940000534057617
20,-95000,-24.260000228881836
21,-100000,-25.579999923706055
22,-105000,-26.889999389648438
23,-110000,-28.200000762939453
24,-115000,-29.510000228881836
25,-120000,-30.84000015258789
26,-125000,-32.16999816894531
27,-130000,-33.4900016784668
28,-135000,-34.810001373291016
29,-140000,-36.130001068115234
30,-145000,-37.45000076293945
31,-150000,-38.7599983215332
32,-155000,-40.06999969482422
33,-160000,-41.38999938964844
34,-165000,-42.720001220703125
35,-170000,-44.040000915527344
36,-175000,-45.369998931884766
37,-180000,-46.689998626708984
38,-185000,-48.0099983215332
39,-190000,-49.310001373291016
40,-195000,-50.630001068115234
41,-200000,-51.95000076293945
42,-205000,-53.27000045776367
43,-210000,-54.599998474121094
44,-215000,-55.91999816894531
45,-220000,-57.2400016784668
46,-225000,-58.560001373291016
47,-230000,-59.869998931884766
48,-235000,-61.18000030517578
49,-240000,-62.4900016784668
50,-245000,-63.83000183105469
51,-250000,-65.1500015258789
52,-255000,-66.47000122070312
53,-260000,-67.79000091552734
54,-265000,-69.11000061035156
55,-270000,-70.41999816894531
56,-275000,-71.7300033569336
57,-280000,-73.05000305175781
58,-285000,-74.37000274658203
59,-290000,-75.69000244140625
60,-295000,-77.01000213623047
