序号,Steps,Force_Value
1,0,-0.18000000715255737
2,-5000,-0.6100000143051147
3,-10000,-1.1299999952316284
4,-15000,-1.659999966621399
5,-20000,-2.1600000858306885
6,-25000,-2.640000104904175
7,-30000,-3.109999895095825
8,-35000,-3.559999942779541
9,-40000,-4.019999980926514
10,-45000,-4.510000228881836
11,-50000,-5.03000020980835
12,-55000,-5.550000190734863
13,-60000,-6.059999942779541
14,-65000,-6.539999961853027
15,-70000,-7.010000228881836
16,-75000,-7.460000038146973
17,-80000,-7.909999847412109
18,-85000,-8.399999618530273
19,-90000,-8.899999618530273
20,-95000,-9.420000076293945
21,-100000,-9.930000305175781
22,-105000,-10.420000076293945
23,-110000,-10.880000114440918
24,-115000,-11.329999923706055
25,-120000,-11.789999961853027
26,-125000,-12.279999732971191
27,-130000,-12.779999732971191
28,-135000,-13.300000190734863
