序号,Steps,Force_Value
1,0,-0.07000000029802322
2,-5000,-1.409999966621399
3,-10000,-2.740000009536743
4,-15000,-4.059999942779541
5,-20000,-5.380000114440918
6,-25000,-6.699999809265137
7,-30000,-8.010000228881836
8,-35000,-9.329999923706055
9,-40000,-10.670000076293945
10,-45000,-12.0
11,-50000,-13.329999923706055
12,-55000,-14.65999984741211
13,-60000,-15.979999542236328
14,-65000,-17.290000915527344
15,-70000,-18.59000015258789
16,-75000,-19.90999984741211
17,-80000,-21.239999771118164
18,-85000,-22.579999923706055
19,-90000,-23.90999984741211
20,-95000,-25.229999542236328
21,-100000,-26.549999237060547
22,-105000,-27.860000610351562
23,-110000,-29.170000076293945
24,-115000,-30.479999542236328
25,-120000,-31.799999237060547
26,-125000,-33.13999938964844
27,-130000,-34.459999084472656
28,-135000,-35.790000915527344
29,-140000,-37.11000061035156
30,-145000,-38.40999984741211
