序号,Steps,Force_Value
1,0,-0.21160000562667847
2,-5000,-0.49880000948905945
3,-10000,-0.8022000193595886
4,-15000,-1.1068999767303467
5,-20000,-1.4071999788284302
6,-25000,-1.6991000175476074
7,-30000,-1.9847999811172485
8,-35000,-2.2780001163482666
9,-40000,-2.567500114440918
10,-45000,-2.8557000160217285
11,-50000,-3.1542999744415283
12,-55000,-3.460900068283081
13,-60000,-3.763700008392334
14,-65000,-4.051000118255615
15,-70000,-4.336400032043457
16,-75000,-4.628600120544434
17,-80000,-4.91540002822876
18,-85000,-5.20419979095459
19,-90000,-5.502900123596191
20,-95000,-5.811999797821045
21,-100000,-6.109300136566162
22,-105000,-6.3958001136779785
23,-110000,-6.68149995803833
24,-115000,-6.969900131225586
25,-120000,-7.2581000328063965
26,-125000,-7.549099922180176
27,-130000,-7.843599796295166
28,-135000,-8.152000427246094
29,-140000,-8.45110034942627
30,-145000,-8.73289966583252
31,-150000,-9.019200325012207
32,-155000,-9.303799629211426
33,-160000,-9.586099624633789
34,-165000,-9.882800102233887
35,-170000,-10.18019962310791
36,-175000,-10.487600326538086
37,-180000,-10.783900260925293
38,-185000,-11.064599990844727
39,-190000,-11.348799705505371
40,-195000,-11.625499725341797
