序号,Steps,Force_Value
1,0,-0.3400000035762787
2,-5000,-1.409999966621399
3,-10000,-2.450000047683716
4,-15000,-3.5399999618530273
5,-20000,-4.739999771118164
6,-25000,-5.940000057220459
7,-30000,-7.199999809265137
8,-35000,-8.5
9,-40000,-9.819999694824219
10,-45000,-11.140000343322754
11,-50000,-12.470000267028809
12,-55000,-13.789999961853027
13,-60000,-15.100000381469727
14,-65000,-16.40999984741211
15,-70000,-17.719999313354492
16,-75000,-19.020000457763672
17,-80000,-20.34000015258789
18,-85000,-21.68000030517578
19,-90000,-23.0
20,-95000,-24.31999969482422
21,-100000,-25.639999389648438
22,-105000,-26.959999084472656
23,-110000,-28.270000457763672
24,-115000,-29.579999923706055
25,-120000,-30.889999389648438
26,-125000,-32.22999954223633
27,-130000,-33.54999923706055
28,-135000,-34.869998931884766
29,-140000,-36.189998626708984
30,-145000,-37.5099983215332
31,-150000,-38.81999969482422
32,-155000,-40.130001068115234
33,-160000,-41.45000076293945
34,-165000,-42.779998779296875
35,-170000,-44.099998474121094
36,-175000,-45.41999816894531
37,-180000,-46.7400016784668
38,-185000,-48.060001373291016
39,-190000,-49.369998931884766
40,-195000,-50.68000030517578
