序号,Steps,Force_Value
1,0,-0.800000011920929
2,-5000,-1.9199999570846558
3,-10000,-3.130000114440918
4,-15000,-4.349999904632568
5,-20000,-5.550000190734863
6,-25000,-6.800000190734863
7,-30000,-8.020000457763672
8,-35000,-9.239999771118164
9,-40000,-10.510000228881836
10,-45000,-11.800000190734863
11,-50000,-13.069999694824219
12,-55000,-14.329999923706055
13,-60000,-15.630000114440918
14,-65000,-16.889999389648438
15,-70000,-18.139999389648438
16,-75000,-19.34000015258789
17,-80000,-20.6299991607666
18,-85000,-21.940000534057617
19,-90000,-23.190000534057617
20,-95000,-24.450000762939453
21,-100000,-25.739999771118164
22,-105000,-27.040000915527344
23,-110000,-28.34000015258789
24,-115000,-29.639999389648438
