序号,Steps,Force_Value
1,0,-0.03999999910593033
2,-5000,-0.3799999952316284
3,-10000,-0.699999988079071
4,-15000,-1.0199999809265137
5,-20000,-1.350000023841858
6,-25000,-1.6699999570846558
7,-30000,-1.9900000095367432
8,-35000,-2.3299999237060547
9,-40000,-2.680000066757202
10,-45000,-3.009999990463257
11,-50000,-3.3399999141693115
12,-55000,-3.6600000858306885
13,-60000,-3.9800000190734863
14,-65000,-4.309999942779541
15,-70000,-4.639999866485596
16,-75000,-4.989999771118164
17,-80000,-5.329999923706055
18,-85000,-5.670000076293945
19,-90000,-6.0
20,-95000,-6.309999942779541
21,-100000,-6.630000114440918
22,-105000,-6.960000038146973
23,-110000,-7.300000190734863
24,-115000,-7.639999866485596
25,-120000,-7.989999771118164
26,-125000,-8.319999694824219
27,-130000,-8.649999618530273
28,-135000,-8.970000267028809
