序号,Steps,Force_Value
1,0,-0.27000001072883606
2,-5000,-0.699999988079071
3,-10000,-1.2300000190734863
4,-15000,-1.75
5,-20000,-2.25
6,-25000,-2.7300000190734863
7,-30000,-3.190000057220459
8,-35000,-3.640000104904175
9,-40000,-4.099999904632568
10,-45000,-4.599999904632568
11,-50000,-5.119999885559082
12,-55000,-5.639999866485596
13,-60000,-6.139999866485596
14,-65000,-6.630000114440918
15,-70000,-7.090000152587891
16,-75000,-7.539999961853027
17,-80000,-8.0
18,-85000,-8.479999542236328
19,-90000,-8.989999771118164
20,-95000,-9.510000228881836
21,-100000,-10.010000228881836
22,-105000,-10.5
23,-110000,-10.960000038146973
24,-115000,-11.399999618530273
25,-120000,-11.869999885559082
26,-125000,-12.359999656677246
27,-130000,-12.859999656677246
28,-135000,-13.380000114440918
29,-140000,-13.890000343322754
30,-145000,-14.369999885559082
31,-150000,-14.829999923706055
32,-155000,-15.270000457763672
33,-160000,-15.729999542236328
34,-165000,-16.219999313354492
35,-170000,-16.719999313354492
36,-175000,-17.229999542236328
