序号,Steps,Force_Value
1,0,0.10300000011920929
2,-5000,-0.2939000129699707
3,-10000,-0.6703000068664551
4,-15000,-1.0436999797821045
5,-20000,-1.4244999885559082
6,-25000,-1.8005000352859497
7,-30000,-2.1445000171661377
8,-35000,-2.523699998855591
9,-40000,-2.9237000942230225
10,-45000,-3.305799961090088
11,-50000,-3.686199903488159
12,-55000,-4.056000232696533
13,-60000,-4.4268999099731445
14,-65000,-4.796299934387207
15,-70000,-5.156300067901611
16,-75000,-5.535099983215332
17,-80000,-5.923999786376953
18,-85000,-6.313499927520752
19,-90000,-6.683199882507324
20,-95000,-7.05709981918335
21,-100000,-7.423500061035156
22,-105000,-7.7916998863220215
23,-110000,-8.145299911499023
24,-115000,-8.528400421142578
