序号,Steps,Force_Value
1,0,-0.12319999933242798
2,-5000,-0.4052000045776367
3,-10000,-0.7020000219345093
4,-15000,-1.0109000205993652
5,-20000,-1.315000057220459
6,-25000,-1.6126999855041504
7,-30000,-1.8969000577926636
8,-35000,-2.190500020980835
9,-40000,-2.4823999404907227
10,-45000,-2.7665998935699463
11,-50000,-3.0625
12,-55000,-3.368299961090088
13,-60000,-3.6726999282836914
14,-65000,-3.963900089263916
15,-70000,-4.246799945831299
16,-75000,-4.5381999015808105
17,-80000,-4.830100059509277
18,-85000,-5.11899995803833
19,-90000,-5.411900043487549
20,-95000,-5.719600200653076
21,-100000,-6.0218000411987305
22,-105000,-6.309899806976318
23,-110000,-6.594399929046631
24,-115000,-6.883600234985352
25,-120000,-7.170300006866455
26,-125000,-7.459799766540527
27,-130000,-7.753600120544434
28,-135000,-8.056599617004395
29,-140000,-8.361599922180176
30,-145000,-8.649999618530273
31,-150000,-8.930700302124023
32,-155000,-9.21720027923584
