序号,Steps,Force_Value
1,0,-0.6100000143051147
2,-5000,-1.7400000095367432
3,-10000,-2.950000047683716
4,-15000,-4.170000076293945
5,-20000,-5.329999923706055
6,-25000,-6.570000171661377
7,-30000,-7.820000171661377
8,-35000,-9.029999732971191
9,-40000,-10.300000190734863
10,-45000,-11.579999923706055
11,-50000,-12.869999885559082
12,-55000,-14.130000114440918
13,-60000,-15.4399995803833
14,-65000,-16.700000762939453
15,-70000,-17.959999084472656
16,-75000,-19.149999618530273
17,-80000,-20.420000076293945
18,-85000,-21.739999771118164
19,-90000,-22.979999542236328
20,-95000,-24.25
21,-100000,-25.530000686645508
22,-105000,-26.829999923706055
23,-110000,-28.1299991607666
24,-115000,-29.43000030517578
25,-120000,-30.739999771118164
26,-125000,-32.04999923706055
27,-130000,-33.31999969482422
28,-135000,-34.59000015258789
29,-140000,-35.869998931884766
30,-145000,-37.16999816894531
31,-150000,-38.470001220703125
32,-155000,-39.779998779296875
33,-160000,-41.09000015258789
34,-165000,-42.400001525878906
35,-170000,-43.66999816894531
36,-175000,-44.93000030517578
