序号,Steps,Force_Value
1,0,0.07000000029802322
2,-5000,-0.2800000011920929
3,-10000,-0.6600000262260437
4,-15000,-1.0800000429153442
5,-20000,-1.5
6,-25000,-1.940000057220459
7,-30000,-2.390000104904175
8,-35000,-2.8299999237060547
9,-40000,-3.2300000190734863
10,-45000,-3.5899999141693115
11,-50000,-3.950000047683716
12,-55000,-4.360000133514404
13,-60000,-4.78000020980835
14,-65000,-5.230000019073486
15,-70000,-5.679999828338623
16,-75000,-6.110000133514404
17,-80000,-6.519999980926514
18,-85000,-6.860000133514404
19,-90000,-7.21999979019165
20,-95000,-7.630000114440918
21,-100000,-8.0600004196167
22,-105000,-8.489999771118164
23,-110000,-8.9399995803833
24,-115000,-9.369999885559082
