序号,Steps,Force_Value
1,0,-0.07000000029802322
2,-5000,-0.46000000834465027
3,-10000,-0.8399999737739563
4,-15000,-1.2100000381469727
5,-20000,-1.5499999523162842
6,-25000,-1.8899999856948853
7,-30000,-2.25
8,-35000,-2.5999999046325684
9,-40000,-2.9800000190734863
10,-45000,-3.359999895095825
11,-50000,-3.740000009536743
12,-55000,-4.090000152587891
13,-60000,-4.440000057220459
14,-65000,-4.789999961853027
15,-70000,-5.139999866485596
16,-75000,-5.5
17,-80000,-5.880000114440918
18,-85000,-6.260000228881836
19,-90000,-6.619999885559082
20,-95000,-6.989999771118164
21,-100000,-7.340000152587891
22,-105000,-7.690000057220459
23,-110000,-8.050000190734863
24,-115000,-8.40999984741211
25,-120000,-8.779999732971191
26,-125000,-9.15999984741211
27,-130000,-9.529999732971191
28,-135000,-9.890000343322754
