序号,Steps,Force_Value
1,0,-0.09019999951124191
2,-5000,-0.46939998865127563
3,-10000,-0.8658999800682068
4,-15000,-1.2719000577926636
5,-20000,-1.6850999593734741
6,-25000,-2.115600109100342
7,-30000,-2.528599977493286
8,-35000,-2.9321000576019287
9,-40000,-3.3213000297546387
10,-45000,-3.714099884033203
11,-50000,-4.110799789428711
12,-55000,-4.526299953460693
13,-60000,-4.956699848175049
14,-65000,-5.384500026702881
15,-70000,-5.801499843597412
16,-75000,-6.200200080871582
17,-80000,-6.5858001708984375
18,-85000,-6.974599838256836
19,-90000,-7.376699924468994
20,-95000,-7.798399925231934
21,-100000,-8.229599952697754
22,-105000,-8.657600402832031
23,-110000,-9.07450008392334
24,-115000,-9.464599609375
25,-120000,-9.849599838256836
26,-125000,-10.236599922180176
27,-130000,-10.64229965209961
28,-135000,-11.062100410461426
29,-140000,-11.49269962310791
30,-145000,-11.921099662780762
31,-150000,-12.332200050354004
32,-155000,-12.720399856567383
