序号,Steps,Force_Value
1,0,0.019999999552965164
2,-5000,-0.3199999928474426
3,-10000,-0.7099999785423279
4,-15000,-1.1299999952316284
5,-20000,-1.5499999523162842
6,-25000,-2.0
7,-30000,-2.440000057220459
8,-35000,-2.880000114440918
9,-40000,-3.259999990463257
10,-45000,-3.619999885559082
11,-50000,-3.990000009536743
12,-55000,-4.409999847412109
13,-60000,-4.840000152587891
14,-65000,-5.28000020980835
15,-70000,-5.730000019073486
16,-75000,-6.159999847412109
17,-80000,-6.539999961853027
18,-85000,-6.889999866485596
19,-90000,-7.260000228881836
20,-95000,-7.670000076293945
21,-100000,-8.100000381469727
22,-105000,-8.539999961853027
23,-110000,-8.979999542236328
24,-115000,-9.40999984741211
25,-120000,-9.800000190734863
26,-125000,-10.140000343322754
27,-130000,-10.5
28,-135000,-10.90999984741211
29,-140000,-11.329999923706055
30,-145000,-11.770000457763672
31,-150000,-12.210000038146973
32,-155000,-12.640000343322754
