序号,Steps,Force_Value
1,0,-0.10000000149011612
2,-5000,-1.149999976158142
3,-10000,-2.25
4,-15000,-3.4000000953674316
5,-20000,-4.590000152587891
6,-25000,-5.829999923706055
7,-30000,-7.090000152587891
8,-35000,-8.350000381469727
9,-40000,-9.59000015258789
10,-45000,-10.829999923706055
11,-50000,-12.069999694824219
12,-55000,-13.300000190734863
13,-60000,-14.550000190734863
14,-65000,-15.8100004196167
15,-70000,-17.06999969482422
16,-75000,-18.31999969482422
17,-80000,-19.56999969482422
18,-85000,-20.809999465942383
19,-90000,-22.049999237060547
20,-95000,-23.290000915527344
21,-100000,-24.540000915527344
22,-105000,-25.799999237060547
23,-110000,-27.059999465942383
24,-115000,-28.309999465942383
25,-120000,-29.559999465942383
26,-125000,-30.799999237060547
27,-130000,-32.040000915527344
28,-135000,-33.279998779296875
29,-140000,-34.52000045776367
30,-145000,-35.790000915527344
31,-150000,-37.04999923706055
32,-155000,-38.29999923706055
