序号,Steps,Force_Value
1,0,0.009999999776482582
2,-5000,-0.44999998807907104
3,-10000,-0.9300000071525574
4,-15000,-1.4299999475479126
5,-20000,-1.940000057220459
6,-25000,-2.430000066757202
7,-30000,-2.9200000762939453
8,-35000,-3.450000047683716
9,-40000,-4.0
10,-45000,-4.489999771118164
11,-50000,-4.960000038146973
12,-55000,-5.440000057220459
13,-60000,-5.96999979019165
14,-65000,-6.46999979019165
15,-70000,-6.960000038146973
16,-75000,-7.480000019073486
17,-80000,-8.010000228881836
18,-85000,-8.489999771118164
19,-90000,-8.949999809265137
20,-95000,-9.4399995803833
21,-100000,-9.960000038146973
22,-105000,-10.460000038146973
23,-110000,-10.949999809265137
24,-115000,-11.470000267028809
