序号,Steps,Force_Value
1,0,-0.4699999988079071
2,-5000,-1.659999966621399
3,-10000,-2.869999885559082
4,-15000,-4.090000152587891
5,-20000,-5.300000190734863
6,-25000,-6.519999980926514
7,-30000,-7.739999771118164
8,-35000,-8.970000267028809
9,-40000,-10.210000038146973
10,-45000,-11.430000305175781
11,-50000,-12.640000343322754
12,-55000,-13.859999656677246
13,-60000,-15.079999923706055
14,-65000,-16.299999237060547
15,-70000,-17.530000686645508
16,-75000,-18.75
17,-80000,-19.979999542236328
18,-85000,-21.200000762939453
19,-90000,-22.40999984741211
20,-95000,-23.6299991607666
21,-100000,-24.850000381469727
22,-105000,-26.079999923706055
23,-110000,-27.309999465942383
24,-115000,-28.540000915527344
25,-120000,-29.760000228881836
26,-125000,-30.979999542236328
27,-130000,-32.189998626708984
28,-135000,-33.40999984741211
29,-140000,-34.630001068115234
30,-145000,-35.86000061035156
31,-150000,-37.09000015258789
32,-155000,-38.31999969482422
