序号,Steps,Force_Value
1,0,-0.25
2,-5000,-1.350000023841858
3,-10000,-2.3499999046325684
4,-15000,-3.440000057220459
5,-20000,-4.550000190734863
6,-25000,-5.679999828338623
7,-30000,-6.820000171661377
8,-35000,-7.96999979019165
9,-40000,-9.109999656677246
10,-45000,-10.260000228881836
11,-50000,-11.40999984741211
12,-55000,-12.550000190734863
13,-60000,-13.680000305175781
14,-65000,-14.8100004196167
15,-70000,-15.9399995803833
16,-75000,-17.100000381469727
17,-80000,-18.25
18,-85000,-19.40999984741211
19,-90000,-20.56999969482422
20,-95000,-21.709999084472656
21,-100000,-22.829999923706055
22,-105000,-23.959999084472656
23,-110000,-25.100000381469727
24,-115000,-26.239999771118164
25,-120000,-27.399999618530273
26,-125000,-28.559999465942383
27,-130000,-29.709999084472656
28,-135000,-30.860000610351562
29,-140000,-31.979999542236328
30,-145000,-33.11000061035156
31,-150000,-34.25
32,-155000,-35.38999938964844
