序号,Steps,Force_Value
1,0,-0.20999999344348907
2,-5000,-1.3799999952316284
3,-10000,-2.5399999618530273
4,-15000,-3.6600000858306885
5,-20000,-4.800000190734863
6,-25000,-6.0
7,-30000,-7.199999809265137
8,-35000,-8.380000114440918
9,-40000,-9.609999656677246
10,-45000,-10.779999732971191
11,-50000,-11.90999984741211
12,-55000,-13.09000015258789
13,-60000,-14.3100004196167
14,-65000,-15.539999961853027
15,-70000,-16.760000228881836
16,-75000,-17.979999542236328
17,-80000,-19.200000762939453
18,-85000,-20.399999618530273
19,-90000,-21.579999923706055
20,-95000,-22.770000457763672
21,-100000,-23.979999542236328
22,-105000,-25.209999084472656
23,-110000,-26.450000762939453
24,-115000,-27.68000030517578
25,-120000,-28.889999389648438
26,-125000,-30.079999923706055
27,-130000,-31.270000457763672
28,-135000,-32.459999084472656
29,-140000,-33.66999816894531
30,-145000,-34.90999984741211
