序号,Steps,Force_Value
1,0,-0.15000000596046448
2,-5000,-0.5
3,-10000,-0.8600000143051147
4,-15000,-1.2100000381469727
5,-20000,-1.559999942779541
6,-25000,-1.909999966621399
7,-30000,-2.25
8,-35000,-2.5799999237060547
9,-40000,-2.9200000762939453
10,-45000,-3.2799999713897705
11,-50000,-3.630000114440918
12,-55000,-3.9800000190734863
13,-60000,-4.320000171661377
14,-65000,-4.679999828338623
15,-70000,-5.019999980926514
16,-75000,-5.320000171661377
17,-80000,-5.650000095367432
18,-85000,-5.989999771118164
19,-90000,-6.340000152587891
20,-95000,-6.699999809265137
21,-100000,-7.050000190734863
22,-105000,-7.400000095367432
23,-110000,-7.71999979019165
24,-115000,-8.0600004196167
25,-120000,-8.390000343322754
26,-125000,-8.729999542236328
27,-130000,-9.079999923706055
28,-135000,-9.430000305175781
29,-140000,-9.789999961853027
30,-145000,-10.130000114440918
31,-150000,-10.460000038146973
32,-155000,-10.789999961853027
33,-160000,-11.130000114440918
34,-165000,-11.470000267028809
35,-170000,-11.819999694824219
36,-175000,-12.170000076293945
