序号,Steps,Force_Value
1,0,-0.6800000071525574
2,-5000,-1.899999976158142
3,-10000,-3.140000104904175
4,-15000,-4.369999885559082
5,-20000,-5.619999885559082
6,-25000,-6.880000114440918
7,-30000,-8.140000343322754
8,-35000,-9.399999618530273
9,-40000,-10.640000343322754
10,-45000,-11.850000381469727
11,-50000,-13.069999694824219
12,-55000,-14.289999961853027
13,-60000,-15.539999961853027
14,-65000,-16.799999237060547
15,-70000,-18.06999969482422
16,-75000,-19.309999465942383
17,-80000,-20.559999465942383
18,-85000,-21.790000915527344
19,-90000,-23.010000228881836
20,-95000,-24.229999542236328
21,-100000,-25.469999313354492
22,-105000,-26.729999542236328
23,-110000,-28.0
24,-115000,-29.239999771118164
25,-120000,-30.479999542236328
26,-125000,-31.709999084472656
27,-130000,-32.91999816894531
28,-135000,-34.13999938964844
29,-140000,-35.380001068115234
30,-145000,-36.63999938964844
