序号,Steps,Force_Value
1,0,-0.5099999904632568
2,-5000,-1.7400000095367432
3,-10000,-2.9600000381469727
4,-15000,-4.179999828338623
5,-20000,-5.389999866485596
6,-25000,-6.610000133514404
7,-30000,-7.809999942779541
8,-35000,-9.0
9,-40000,-10.210000038146973
10,-45000,-11.420000076293945
11,-50000,-12.630000114440918
12,-55000,-13.84000015258789
13,-60000,-15.050000190734863
14,-65000,-16.25
15,-70000,-17.440000534057617
16,-75000,-18.6299991607666
17,-80000,-19.790000915527344
18,-85000,-20.979999542236328
19,-90000,-22.170000076293945
20,-95000,-23.3700008392334
21,-100000,-24.56999969482422
22,-105000,-25.75
23,-110000,-26.950000762939453
24,-115000,-28.1299991607666
25,-120000,-29.309999465942383
26,-125000,-30.5
27,-130000,-31.700000762939453
28,-135000,-32.900001525878906
29,-140000,-34.09000015258789
30,-145000,-35.279998779296875
