序号,Steps,Force_Value
1,0,82.44000244140625
2,5000,82.5
3,10000,82.55000305175781
4,15000,82.61000061035156
5,20000,82.6500015258789
6,25000,82.66000366210938
7,30000,82.76000213623047
8,35000,82.81999969482422
9,40000,82.86000061035156
10,45000,82.91999816894531
11,50000,82.9800033569336
12,55000,83.02999877929688
13,60000,83.2699966430664
14,65000,83.33000183105469
15,70000,83.38999938964844
16,75000,83.44000244140625
17,80000,83.69000244140625
18,60000,78.5199966430664
19,40000,73.30999755859375
20,20000,68.08000183105469
21,0,62.880001068115234
22,-20000,57.65999984741211
23,-40000,52.470001220703125
24,-60000,47.2599983215332
25,-80000,42.060001373291016
26,-100000,36.869998931884766
27,-120000,31.68000030517578
28,-140000,26.489999771118164
29,-160000,21.31999969482422
30,-180000,16.15999984741211
31,-200000,11.09000015258789
32,-220000,6.139999866485596
33,-240000,1.2899999618530273
34,-260000,-3.740000009536743
35,-280000,-8.739999771118164
36,-300000,-13.84000015258789
37,-320000,-18.950000762939453
38,-340000,-24.100000381469727
39,-360000,-29.229999542236328
40,-380000,-34.380001068115234
41,-400000,-39.52000045776367
42,-420000,-44.66999816894531
43,-440000,-49.81999969482422
44,-460000,-54.959999084472656
45,-480000,-60.099998474121094
46,-500000,-65.23999786376953
47,-520000,-66.87000274658203
48,-540000,-68.08999633789062
49,-560000,-71.36000061035156
50,-580000,-72.77999877929688
51,-600000,-73.58999633789062
52,-620000,-74.19000244140625
53,-640000,-75.0
54,-660000,-76.2300033569336
55,-680000,-77.04000091552734
56,-700000,-77.43000030517578
57,-720000,-78.23999786376953
58,-740000,-79.05000305175781
59,-760000,-79.6500015258789
60,-780000,-79.6500015258789
61,-800000,-79.6500015258789
62,-805000,-79.6500015258789
63,-810000,-79.6500015258789
64,-815000,-79.6500015258789
65,-820000,-79.6500015258789
66,-825000,-79.6500015258789
67,-830000,-79.6500015258789
68,-835000,-79.6500015258789
69,-840000,-79.6500015258789
70,-845000,-79.6500015258789
71,-850000,-79.6500015258789
72,-855000,-79.6500015258789
73,-860000,-79.6500015258789
74,-865000,-79.6500015258789
75,-870000,-79.6500015258789
76,-875000,-79.6500015258789
77,-880000,-79.6500015258789
