# actuator_id, controller_id, axis_id, amplifer_id, channel_id
0,0,0,0,0
1,0,1,0,1
2,0,2,0,2
3,0,3,0,3
4,0,4,0,4
5,0,5,0,5
6,0,6,0,6
7,0,7,0,7
8,0,8,1,0
9,0,9,1,1
10,0,10,1,2
11,0,11,1,3
12,0,12,1,4
13,0,13,1,5
14,0,14,1,6
15,0,15,1,7
16,0,16,2,0
17,0,17,2,1
18,0,18,2,2
19,0,19,2,3
20,0,20,2,4
21,0,21,2,5
22,0,22,2,6
23,0,23,2,7
24,0,24,3,0
25,1,0,3,1
26,1,1,3,2
27,1,2,3,3
28,1,3,3,4
29,1,4,3,5
30,1,5,3,6
31,1,6,3,7
32,1,7,4,0
33,1,8,4,1
34,1,9,4,2
35,1,10,4,3
36,1,11,4,4
37,1,12,4,5
38,1,13,4,6
39,1,14,4,7
40,1,15,5,0
41,1,16,5,1
42,1,17,5,2
43,1,18,5,3
44,1,19,5,4
45,1,20,5,5
46,1,21,5,6
47,1,22,5,7
48,1,23,6,0
49,1,24,6,1
50,2,0,6,2
51,2,1,6,3
52,2,2,6,4
53,2,3,6,5
54,2,4,6,6
55,2,5,6,7
56,2,6,7,0
57,2,7,7,1
58,2,8,7,2
59,2,9,7,3
60,2,10,7,4
61,2,11,7,5
62,2,12,7,6
63,2,13,7,7
64,2,14,8,0
65,2,15,8,1
66,2,16,8,2
67,2,17,8,3
68,2,18,8,4
69,2,19,8,5
70,2,20,8,6
71,2,21,8,7
72,2,22,9,0
73,2,23,9,1
74,2,24,9,2
75,3,0,9,3
76,3,1,9,4
77,3,2,9,5
78,3,3,9,6
79,3,4,9,7
80,3,5,10,0
81,3,6,10,1
82,3,7,10,2
83,3,8,10,3
84,3,9,10,4
85,3,10,10,5
86,3,11,10,6
87,3,12,10,7
88,3,13,11,0
89,3,14,11,1
90,3,15,11,2
91,3,16,11,3
92,3,17,11,4
93,3,18,11,5
94,3,19,11,6
95,3,20,11,7
96,3,21,12,0
97,3,22,12,1
98,3,23,12,2
99,3,24,12,3
100,4,0,12,4
101,4,1,12,5
102,4,2,12,6
103,4,3,12,7
104,4,4,13,0
105,4,5,13,1
106,4,6,13,2
107,4,7,13,3
108,4,8,13,4
109,4,9,13,5
110,4,10,13,6
111,4,11,13,7
112,4,12,14,0
113,4,13,14,1
114,4,14,14,2
115,4,15,14,3
116,4,16,14,4
117,4,17,14,5
118,4,18,14,6
119,4,19,14,7
120,4,20,15,0
121,4,21,15,1
122,4,22,15,2
123,4,23,15,3
124,4,24,15,4
125,5,0,15,5
126,5,1,15,6
127,5,2,15,7
128,5,3,16,0
129,5,4,16,1
130,5,5,16,2
131,5,6,16,3
132,5,7,16,4
133,5,8,16,5
134,5,9,16,6
135,5,10,16,7
136,5,11,17,0
137,5,12,17,1
138,5,13,17,2
139,5,14,17,3
140,5,15,17,4
141,5,16,17,5
142,5,17,17,6
143,5,18,17,7
144,5,19,18,0
145,5,20,18,5
146,5,21,18,2
147,5,22,18,3
148,5,23,18,4
149,5,24,18,1
