序号,Steps,Force_Value
1,0,19.85324478149414
2,5000,21.05833625793457
3,10000,22.353357315063477
4,15000,23.685832977294922
5,20000,24.909652709960938
6,25000,26.096105575561523
7,30000,27.37837028503418
8,35000,28.701799392700195
9,40000,29.91123390197754
