序号,Steps,Force_Value
1,0,-37.204559326171875
2,5000,-31.977169036865234
3,10000,-26.739315032958984
4,15000,-21.51120948791504
5,20000,-16.27049446105957
6,25000,-11.039885520935059
7,30000,-5.879820346832275
8,35000,-0.7055391073226929
9,40000,3.7399563789367676
